55.0,65.0,64.0,54.0,73.0,59.0,65.0,66.0,69.0,59.0,69.0,62.0
65.0,64.0,54.0,73.0,59.0,72.0,66.0,69.0,59.0,69.0,62.0,65.0
64.0,54.0,73.0,59.0,72.0,64.0,69.0,59.0,69.0,62.0,65.0,69.0
54.0,73.0,59.0,72.0,64.0,50.0,59.0,69.0,62.0,65.0,69.0,64.0
73.0,59.0,72.0,64.0,50.0,49.0,69.0,62.0,65.0,69.0,64.0,52.0
59.0,72.0,64.0,50.0,49.0,50.0,62.0,65.0,69.0,64.0,52.0,76.0
72.0,64.0,50.0,49.0,50.0,56.0,65.0,69.0,64.0,52.0,76.0,66.0
64.0,50.0,49.0,50.0,56.0,76.0,69.0,64.0,52.0,76.0,66.0,67.0
50.0,49.0,50.0,56.0,76.0,48.0,64.0,52.0,76.0,66.0,67.0,60.0
49.0,50.0,56.0,76.0,48.0,63.0,52.0,76.0,66.0,67.0,60.0,47.0
50.0,56.0,76.0,48.0,63.0,81.0,76.0,66.0,67.0,60.0,47.0,77.0
56.0,76.0,48.0,63.0,81.0,51.0,66.0,67.0,60.0,47.0,77.0,58.0
76.0,48.0,63.0,81.0,51.0,68.0,67.0,60.0,47.0,77.0,58.0,60.0
48.0,63.0,81.0,51.0,68.0,54.0,60.0,47.0,77.0,58.0,60.0,69.0
63.0,81.0,51.0,68.0,54.0,62.0,47.0,77.0,58.0,60.0,69.0,62.0
81.0,51.0,68.0,54.0,62.0,47.0,77.0,58.0,60.0,69.0,62.0,68.0
51.0,68.0,54.0,62.0,47.0,67.0,58.0,60.0,69.0,62.0,68.0,55.0
68.0,54.0,62.0,47.0,67.0,52.0,60.0,69.0,62.0,68.0,55.0,41.0
54.0,62.0,47.0,67.0,52.0,78.0,69.0,62.0,68.0,55.0,41.0,60.0
62.0,47.0,67.0,52.0,78.0,51.0,62.0,68.0,55.0,41.0,60.0,75.0
47.0,67.0,52.0,78.0,51.0,65.0,68.0,55.0,41.0,60.0,75.0,71.0
67.0,52.0,78.0,51.0,65.0,54.0,55.0,41.0,60.0,75.0,71.0,54.0
52.0,78.0,51.0,65.0,54.0,62.0,41.0,60.0,75.0,71.0,54.0,64.0
78.0,51.0,65.0,54.0,62.0,66.0,60.0,75.0,71.0,54.0,64.0,43.0
51.0,65.0,54.0,62.0,66.0,64.0,75.0,71.0,54.0,64.0,43.0,53.0
65.0,54.0,62.0,66.0,64.0,54.0,71.0,54.0,64.0,43.0,53.0,66.0
54.0,62.0,66.0,64.0,54.0,45.0,54.0,64.0,43.0,53.0,66.0,60.0
62.0,66.0,64.0,54.0,45.0,61.0,64.0,43.0,53.0,66.0,60.0,56.0
66.0,64.0,54.0,45.0,61.0,54.0,43.0,53.0,66.0,60.0,56.0,67.0
64.0,54.0,45.0,61.0,54.0,49.0,53.0,66.0,60.0,56.0,67.0,84.0
54.0,45.0,61.0,54.0,49.0,57.0,66.0,60.0,56.0,67.0,84.0,72.0
45.0,61.0,54.0,49.0,57.0,74.0,60.0,56.0,67.0,84.0,72.0,70.0
61.0,54.0,49.0,57.0,74.0,75.0,56.0,67.0,84.0,72.0,70.0,52.0
54.0,49.0,57.0,74.0,75.0,62.0,67.0,84.0,72.0,70.0,52.0,65.0
49.0,57.0,74.0,75.0,62.0,61.0,84.0,72.0,70.0,52.0,65.0,69.0
57.0,74.0,75.0,62.0,61.0,68.0,72.0,70.0,52.0,65.0,69.0,61.0
74.0,75.0,62.0,61.0,68.0,54.0,70.0,52.0,65.0,69.0,61.0,64.0
75.0,62.0,61.0,68.0,54.0,63.0,52.0,65.0,69.0,61.0,64.0,74.0
62.0,61.0,68.0,54.0,63.0,85.0,65.0,69.0,61.0,64.0,74.0,59.0
61.0,68.0,54.0,63.0,85.0,65.0,69.0,61.0,64.0,74.0,59.0,67.0
68.0,54.0,63.0,85.0,65.0,52.0,61.0,64.0,74.0,59.0,67.0,70.0
54.0,63.0,85.0,65.0,52.0,56.0,64.0,74.0,59.0,67.0,70.0,57.0
63.0,85.0,65.0,52.0,56.0,35.0,74.0,59.0,67.0,70.0,57.0,66.0
85.0,65.0,52.0,56.0,35.0,66.0,59.0,67.0,70.0,57.0,66.0,58.0
65.0,52.0,56.0,35.0,66.0,53.0,67.0,70.0,57.0,66.0,58.0,53.0
